,SESSION_YEAR,COURSE_TITLE,COURSE_DESCRIPTION,FACULTY,SUBJECT_CODE,COURSE_NUMBER,SECTION_NUMBER,SECTION_TYPE,CREDITS,PRE_REQUISITE_DESCRIPTIONS,CO_PRE_REQUISITE_DESCRIPTIONS,TERM,DAYSMET,START_TIME,END_TIME,CAMPUS,BUILDING,ROOM_NUMBER,INSTRUCTORS,TOTAL_SEATS_REMAINING,CURRENTLY_REGISTERED,GENERAL_SEATS_REMAINING,RESTRICTED_SEATS_REMAINING
124138,2018W,RSRCH METHDLGY , ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,504,2,LEC,3,,,1,W,10:00 AM,1:00 PM,UBC,MCML,342,"WEARY, DANIEL",17,8,17,0
124140,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530A,1,DST,3,,,1,,,,UBC,,,,5,0,5,0
124143,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530B,1,DST,3,,,1,,,,UBC,,,,5,0,5,0
124146,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530C,1,DST,6,,,1,,,,UBC,,,,0,0,0,0
124149,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530D,1,DST,2,,,1,,,,UBC,,,,5,0,5,0
124152,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,549A,1,THS,12,,,1,,,,UBC,,,,20,0,20,0
124155,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,549B,1,THS,18,,,1,,,,UBC,,,,10,0,10,0
124158,2018W,TPC ANML WELFARE, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,550,1,SEM,3,,APBI 315.,1,MW,,,UBC,,,,10,0,10,0
124161,2018W,DOCTORAL DISSERT, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,649,1,THS,0,,,1,,,,UBC,,,,18,2,18,0
124164,2018W,ASN CDN POP CULT,"Popular culture's role in the production of Asian Canadian and diasporic communities, with emphasis on race, gender, sexuality, and other identity categories.",FACULTY OF ARTS                                   ,ACAM,250,1,LEC,3,,,1,TR,12:30 PM,2:00 PM,UBC,IBLC,261,"CATUNGAL, JOHN PAUL",31,59,31,0
124168,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,63A,DEC,3,,,1,,,,UBC,,,"PALACIOS, CAROLINA",3,33,4,-1
